[GIN] 2019/02/26 - 17:15:47 | 200 |      63.595µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:15:48 | 200 |      39.678µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:28:54 | 200 |      145.99µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:29:02 | 200 |       54.32µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:29:02 | 200 |      62.515µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:29:02 | 200 |      28.162µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:29:03 | 200 |      29.826µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:29:03 | 200 |      20.522µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:29:03 | 200 |      28.652µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:29:03 | 200 |      16.927µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:29:04 | 200 |      29.586µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:29:04 | 200 |       18.39µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:29:04 | 200 |      17.486µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:29:04 | 200 |       16.99µs |       127.0.0.1 | GET      /v2/user
[GIN] 2019/02/26 - 17:32:48 | 200 |       15.43µs |       127.0.0.1 | GET      /v2/user
